Company,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Year,Quarter
Chevron,2017-01-03,118.38,119.0,116.59,117.85,7404774.0,0.0,1.0,114.89596826689,115.49772109951,113.15864960498,114.38156665191,7404774.0,2017,2017Q1
Chevron,2017-01-04,118.41,118.65,117.6,117.82,6679943.0,0.0,1.0,114.92508533944,115.15802191981,114.1389243807,114.35244957937,6679943.0,2017,2017Q1
Chevron,2017-01-05,118.0,118.48,116.72,117.31,5928032.0,0.0,1.0,114.52715201464,114.99302517538,113.28482358601,113.85745934608,5928032.0,2017,2017Q1
Chevron,2017-01-06,117.45,117.58,116.38,116.84,4762474.0,0.0,1.0,113.99333901797,114.119512999,112.95483009715,113.40129187619,4762474.0,2017,2017Q1
Chevron,2017-01-09,116.29,116.36,115.11,115.84,6891540.0,0.0,1.0,112.86747887952,112.93541871546,111.72220735937,112.43072279132,6891540.0,2017,2017Q1
Chevron,2017-01-10,115.56,116.39,114.89,114.96,6184401.0,0.0,1.0,112.15896344756,112.964535788,111.5086821607,111.57662199664,6184401.0,2017,2017Q1
Chevron,2017-01-11,115.15,116.45,114.86,115.93,6158217.0,0.0,1.0,111.76103012276,113.0227699331,111.47956508815,112.51807400896,6158217.0,2017,2017Q1
Chevron,2017-01-12,116.5,116.99,115.41,116.16,4940021.0,0.0,1.0,113.07129838734,113.54687723893,112.01337808483,112.74130489848,4940021.0,2017,2017Q1
Chevron,2017-01-13,115.86,116.88,115.61,116.38,4952867.0,0.0,1.0,112.45013417302,113.44011463959,112.2074919018,112.95483009715,4952867.0,2017,2017Q1
Chevron,2017-01-17,116.4,116.77,116.11,116.28,4669684.0,0.0,1.0,112.97424147885,113.33335204025,112.69277644424,112.85777318867,4669684.0,2017,2017Q1
Chevron,2017-01-18,115.68,116.04,115.3986,115.94,4855334.0,0.0,1.0,112.27543173775,112.6248366083,112.00231359726,112.52777969981,4855334.0,2017,2017Q1
Chevron,2017-01-19,115.89,115.96,115.29,115.58,3427849.0,0.0,1.0,112.47925124557,112.54719108151,111.89690979465,112.17837482926,3427849.0,2017,2017Q1
Chevron,2017-01-20,116.32,116.75,115.34,115.6,6708628.0,0.0,1.0,112.89659595206,113.31394065856,111.94543824889,112.19778621096,6708628.0,2017,2017Q1
Chevron,2017-01-23,115.12,115.96,114.99,115.39,5104033.0,0.0,1.0,111.73191305022,112.54719108151,111.60573906919,111.99396670313,5104033.0,2017,2017Q1
Chevron,2017-01-24,115.85,117.108,115.61,116.37,5024409.0,0.0,1.0,112.44042848217,113.66140439094,112.2074919018,112.94512440631,5024409.0,2017,2017Q1
Chevron,2017-01-25,116.9,117.43,116.34,117.24,5276756.0,0.0,1.0,113.45952602129,113.97392763627,112.91600733376,113.78951951014,5276756.0,2017,2017Q1
Chevron,2017-01-26,117.5,117.82,116.5,116.55,6924578.0,0.0,1.0,114.04186747221,114.35244957937,113.07129838734,113.11982684158,6924578.0,2017,2017Q1
Chevron,2017-01-27,113.53,114.7,112.85,113.79,11698297.0,0.0,1.0,110.18870820528,111.32427403457,109.52872122756,110.44105616734,11698297.0,2017,2017Q1
Chevron,2017-01-30,113.15,113.8,110.72,111.82,8266321.0,0.0,1.0,109.81989195302,110.45076185819,107.46140907679,108.52903507015,8266321.0,2017,2017Q1
Chevron,2017-01-31,111.89,112.2,110.76,111.35,7945005.0,0.0,1.0,108.59697490609,108.8978513224,107.50023184019,108.07286760026,7945005.0,2017,2017Q1
Chevron,2017-02-01,111.2,111.78,110.8428,111.0,5888275.0,0.0,1.0,107.92728223753,108.49021230675,107.58059496041,107.73316842055,5888275.0,2017,2017Q1
Chevron,2017-02-02,111.17,112.24,110.71,112.21,6289020.0,0.0,1.0,107.89816516498,108.93667408579,107.45170338594,108.90755701325,6289020.0,2017,2017Q1
Chevron,2017-02-03,112.41,114.28,112.14,113.57,6623332.0,0.0,1.0,109.10167083022,110.91663501893,108.83961717731,110.22753096867,6623332.0,2017,2017Q1
Chevron,2017-02-06,113.28,113.5,112.45,112.98,5637256.0,0.0,1.0,109.94606593406,110.15959113273,109.14049359362,109.6548952086,5637256.0,2017,2017Q1
Chevron,2017-02-07,112.98,113.1,111.11,111.39,6036670.0,0.0,1.0,109.6548952086,109.77136349878,107.83993101989,108.11169036365,6036670.0,2017,2017Q1
Chevron,2017-02-08,111.13,111.79,110.32,111.58,5188785.0,0.0,1.0,107.85934240159,108.4999179976,107.07318144284,108.29609848978,5188785.0,2017,2017Q1
Chevron,2017-02-09,111.91,112.63,111.69,112.26,4607757.0,0.0,1.0,108.61638628779,109.31519602889,108.40286108911,108.95608546749,4607757.0,2017,2017Q1
Chevron,2017-02-10,112.75,113.45,112.37,113.05,6194334.0,0.0,1.0,109.43166431908,110.11106267849,109.06284806683,109.72283504454,6194334.0,2017,2017Q1
Chevron,2017-02-13,113.36,113.99,113.05,113.91,4858511.0,0.0,1.0,110.02371146085,110.63516998432,109.72283504454,110.55752445753,4858511.0,2017,2017Q1
Chevron,2017-02-14,112.68,113.07,111.78,112.52,5811058.0,1.08,1.0,110.41342962393,110.79558473178,109.53153322118,110.25664804122,5811058.0,2017,2017Q1
Chevron,2017-02-15,112.21,113.24,112.21,112.57,7048099.0,0.0,1.0,109.95288372471,110.96216516341,109.95288372471,110.30564228581,7048099.0,2017,2017Q1
Chevron,2017-02-16,112.99,112.99,110.43,110.68,9478223.0,0.0,1.0,110.71719394043,110.71719394043,108.20868861706,108.45365984004,9478223.0,2017,2017Q1
Chevron,2017-02-17,110.42,110.57,109.27,110.33,8110738.0,0.0,1.0,108.19888976814,108.34587250193,107.07202214241,108.11070012787,8110738.0,2017,2017Q1
Chevron,2017-02-21,110.73,112.31,110.6,111.72,6618607.0,0.0,1.0,108.50265408464,110.05087221391,108.37526904869,109.47274012766,6618607.0,2017,2017Q1
Chevron,2017-02-22,111.19,111.78,110.31,110.38,5732048.0,0.0,1.0,108.95340113493,109.53153322118,108.09110243003,108.15969437246,5732048.0,2017,2017Q1
Chevron,2017-02-23,111.34,111.83,110.75,111.02,8659712.0,0.0,1.0,109.10038386873,109.58052746578,108.52225178248,108.7868207033,8659712.0,2017,2017Q1
Chevron,2017-02-24,110.9,111.02,109.47,110.12,6188919.0,0.0,1.0,108.66923451627,108.7868207033,107.2679991208,107.90492430056,6188919.0,2017,2017Q1
Chevron,2017-02-27,110.65,112.2697,110.37,111.75,7276325.0,0.0,1.0,108.42426329329,110.01138285276,108.14989552354,109.50213667442,7276325.0,2017,2017Q1
Chevron,2017-02-28,111.66,112.76,111.49,112.5,7030208.0,0.0,1.0,109.41394703415,110.49182041528,109.24736660252,110.23705034338,7030208.0,2017,2017Q1
Chevron,2017-03-01,112.92,114.3932,112.88,113.88,7353829.0,0.0,1.0,110.64860199799,112.0921684208,110.60940660232,111.58929149426,7353829.0,2017,2017Q1
Chevron,2017-03-02,113.67,114.27,113.31,113.36,5888885.0,0.0,1.0,111.38351566695,111.97144660211,111.03075710585,111.07975135045,5888885.0,2017,2017Q1
Chevron,2017-03-03,113.76,113.89,113.21,113.55,4909979.0,0.0,1.0,111.47170530722,111.59909034318,110.93276861666,111.26592947992,4909979.0,2017,2017Q1
Chevron,2017-03-06,113.25,113.5,112.67,113.17,4731940.0,0.0,1.0,110.97196401233,111.21693523532,110.40363077501,110.89357322098,4731940.0,2017,2017Q1
Chevron,2017-03-07,113.54,113.88,111.69,111.81,6659384.0,0.0,1.0,111.256130631,111.58929149426,109.44334358091,109.56092976794,6659384.0,2017,2017Q1
Chevron,2017-03-08,111.68,111.92,109.4,109.61,9071579.0,0.0,1.0,109.43354473199,109.66871710605,107.19940717836,107.40518300567,9071579.0,2017,2017Q1
Chevron,2017-03-09,109.31,110.17,108.51,110.04,7247427.0,0.0,1.0,107.11121753809,107.95391854515,106.32730962453,107.8265335092,7247427.0,2017,2017Q1
Chevron,2017-03-10,111.4,111.4099,109.44,110.61,6560329.0,0.0,1.0,109.15917696224,109.16887782267,107.23860257404,108.38506789761,6560329.0,2017,2017Q1
Chevron,2017-03-13,110.51,110.81,109.31,109.35,6369288.0,0.0,1.0,108.28707940841,108.581044876,107.11121753809,107.15041293376,6369288.0,2017,2017Q1
Chevron,2017-03-14,108.47,108.5737,107.12,107.36,9935732.0,0.0,1.0,106.28811422885,106.38972829215,104.96526962473,105.2004419988,9935732.0,2017,2017Q1
Chevron,2017-03-15,108.08,108.98,107.54,108.88,9472102.0,0.0,1.0,105.905959121,106.78785552374,105.37682127935,106.68986703455,9472102.0,2017,2017Q1
Chevron,2017-03-16,108.81,108.88,107.44,107.86,8894699.0,0.0,1.0,106.62127509211,106.68986703455,105.27883279016,105.69038444477,8894699.0,2017,2017Q1
Chevron,2017-03-17,108.0,108.42,107.68,107.68,14353407.0,0.0,1.0,105.82756832964,106.23911998426,105.51400516422,105.51400516422,14353407.0,2017,2017Q1
Chevron,2017-03-20,107.27,107.85,107.02,107.66,5301890.0,0.0,1.0,105.11225235853,105.68058559585,104.86728113554,105.49440746638,5301890.0,2017,2017Q1
Chevron,2017-03-21,108.06,108.23,107.4,108.04,7406294.0,0.0,1.0,105.88636142316,106.05294185479,105.23963739448,105.86676372532,7406294.0,2017,2017Q1
Chevron,2017-03-22,107.65,108.85,107.52,108.39,8106844.0,0.0,1.0,105.48460861746,106.66047048779,105.35722358151,106.2097234375,8106844.0,2017,2017Q1
Chevron,2017-03-23,108.29,108.86,107.75,107.87,5451228.0,0.0,1.0,106.11173494831,106.67026933671,105.58259710666,105.70018329369,5451228.0,2017,2017Q1
Chevron,2017-03-24,107.93,108.42,107.7,107.99,6338585.0,0.0,1.0,105.75897638721,106.23911998426,105.53360286206,105.81776948072,6338585.0,2017,2017Q1
Chevron,2017-03-27,107.0,107.35,105.82,106.28,6479407.0,0.0,1.0,104.8476834377,105.19064314988,103.69141926521,104.1421663155,6479407.0,2017,2017Q1
Chevron,2017-03-28,106.28,107.74,106.12,107.17,6331253.0,0.0,1.0,104.1421663155,105.57279825774,103.98538473279,105.01426386933,6331253.0,2017,2017Q1
Chevron,2017-03-29,106.95,108.0799,106.88,108.07,4919884.0,0.0,1.0,104.7986891931,105.90586113251,104.73009725067,105.89616027208,4919884.0,2017,2017Q1
Chevron,2017-03-30,108.15,108.68,107.2,107.78,6797658.0,0.0,1.0,105.97455106343,106.49389005616,105.04366041609,105.61199365342,6797658.0,2017,2017Q1
Chevron,2017-03-31,107.7,108.14,107.05,107.37,6158992.0,0.0,1.0,105.53360286206,105.96475221451,104.8966776823,105.21024084772,6158992.0,2017,2017Q1
Chevron,2017-04-03,107.22,107.97,106.38,107.8,5800883.0,0.0,1.0,105.06325811393,105.79817178288,104.2401548047,105.63159135125,5800883.0,2017,2017Q2
Chevron,2017-04-04,107.88,108.72,107.01,108.66,4687072.0,0.0,1.0,105.70998214261,106.53308545184,104.85748228662,106.47429235832,4687072.0,2017,2017Q2
Chevron,2017-04-05,109.65,110.67,108.56,108.64,6398830.0,0.0,1.0,107.44437840135,108.44386099113,106.37630386913,106.45469466048,6398830.0,2017,2017Q2
Chevron,2017-04-06,109.12,109.65,108.75,109.29,3934462.0,0.0,1.0,106.92503940862,107.44437840135,106.5624819986,107.09161984025,3934462.0,2017,2017Q2
Chevron,2017-04-07,109.38,109.58,108.665,108.86,4889412.0,0.0,1.0,107.17980948052,107.37578645891,106.47919178278,106.67026933671,4889412.0,2017,2017Q2
Chevron,2017-04-10,109.12,110.2,108.97,109.43,4812093.0,0.0,1.0,106.92503940862,107.98331509191,106.77805667483,107.22880372512,4812093.0,2017,2017Q2
Chevron,2017-04-11,109.53,109.54,108.06,108.97,3956337.0,0.0,1.0,107.32679221431,107.33659106323,105.88636142316,106.77805667483,3956337.0,2017,2017Q2
Chevron,2017-04-12,109.36,109.36,108.45,108.97,5053297.0,0.0,1.0,107.16021178268,107.16021178268,106.26851653102,106.77805667483,5053297.0,2017,2017Q2
Chevron,2017-04-13,108.64,108.735,105.93,106.1,6894792.0,0.0,1.0,106.45469466048,106.54778372522,103.79920660332,103.96578703495,6894792.0,2017,2017Q2
Chevron,2017-04-17,106.17,106.4837,105.65,106.17,5278826.0,0.0,1.0,104.03437897739,104.34176886799,103.52483883358,104.03437897739,5278826.0,2017,2017Q2
Chevron,2017-04-18,105.81,106.68,105.321,105.68,4252670.0,0.0,1.0,103.68162041629,104.53412027228,103.20245670413,103.55423538034,4252670.0,2017,2017Q2
Chevron,2017-04-19,105.89,106.14,103.83,104.23,6667880.0,0.0,1.0,103.76001120765,104.00498243063,101.74144833025,102.13340228702,6667880.0,2017,2017Q2
Chevron,2017-04-20,104.4,105.69,104.36,104.88,4987980.0,0.0,1.0,102.29998271865,103.56403422926,102.26078732298,102.77032746679,4987980.0,2017,2017Q2
Chevron,2017-04-21,104.8,105.43,104.29,104.89,5432604.0,0.0,1.0,102.69193667543,103.30926415735,102.19219538054,102.78012631571,5432604.0,2017,2017Q2
Chevron,2017-04-24,105.79,106.41,105.37,105.93,4538203.0,0.0,1.0,103.66202271845,104.26955135146,103.25047106384,103.79920660332,4538203.0,2017,2017Q2
Chevron,2017-04-25,106.3,106.97,106.18,106.73,4012978.0,0.0,1.0,104.16176401334,104.81828689094,104.04417782631,104.58311451688,4012978.0,2017,2017Q2
Chevron,2017-04-26,106.4,107.48,105.97,106.08,6492581.0,0.0,1.0,104.25975250254,105.31802818583,103.838401999,103.94618933712,6492581.0,2017,2017Q2
Chevron,2017-04-27,105.96,105.98,104.67,105.47,5756104.0,0.0,1.0,103.82860315008,103.84820084792,102.56455163948,103.34845955303,5756104.0,2017,2017Q2
Chevron,2017-04-28,107.05,107.6,105.99,106.7,6797753.0,0.0,1.0,104.8966776823,105.43561437287,103.85799969684,104.55371797012,6797753.0,2017,2017Q2
Chevron,2017-05-01,106.26,106.73,105.76,105.92,4949399.0,0.0,1.0,104.12256861766,104.58311451688,103.63262617169,103.7894077544,4949399.0,2017,2017Q2
Chevron,2017-05-02,106.11,106.53,105.09,105.36,4997740.0,0.0,1.0,103.97558588387,104.38713753849,102.97610329409,103.24067221492,4997740.0,2017,2017Q2
